capitalization,earnings,taxes,sector,name,alias,symbol,taxRate
53572,15004,3995,Help Me Catch Up,Nike Inc.,,NKE,26.626233004532125
9392,2904,366,Fund My Deal,NiSource Inc.,,NI,12.603305785123966
9565,7473,1276,Close My Account,Noble Corp.,,NE,17.074802622775323
20649,5871,1268,Close My Account,"Noble Close My Account, Inc.",,NBL,21.597683529211377
10825,5733,2286,Outside Sales,Nordstrom Inc.,,JWN,39.87441130298273
23700,14652,3108,Vehicle Resolution,Norfolk Southern Corp.,,NSC,21.21212121212121
13787,3227,490,Fund My Deal,Northeast Fund My Deal,,NU,15.184381778741866
13053,6458,1778,Move On,Northern Trust Corporation,,NTRS,27.531743573861878
8649,4727,178,Fund My Deal,"NRG Close My Account, Inc.",,NRG,3.765601861645864
13963,7609,2432,Inside Sales,Nucor Corporation,,NUE,31.962150085425154
7683,2205,98,Keep Me In My Car,NVIDIA Corporation,,NVDA,4.444444444444445
9121,2333,734,Move On,"NYSE Euronext, Inc.",,NYX,31.46163737676811
11569,3554,980,Outside Sales,O'Reilly Automotive Inc.,,ORLY,27.574563871693865
65354,52331,17100,Close My Account,Occidental Petroleum Corporation,,OXY,32.676616154860405
15543,9180,1965,Help Me Catch Up,Omnicom Group Inc.,,OMC,21.405228758169933
10022,4846,120,Fund My Deal,ONEOK Inc.,,OKE,2.4762690879075526
152437,54270,13204,Keep Me In My Car,Oracle Corporation,,ORCL,24.33020084761378
17049,7199,1747,Vehicle Resolution,PACCAR Inc.,,PCAR,24.26725934157522
7439,1865,640,Vehicle Resolution,Pall Corporation,,PLL,34.316353887399465
13409,6922,1671,Vehicle Resolution,Parker-Hannifin Corporation,,PH,24.140421843397863
3961,2031,692,Set Up My Loan,"Patterson Companies, Inc.",,PDCO,34.07188577055638
12758,4792,1571,Keep Me In My Car,"Paychex, Inc.",,PAYX,32.78380634390651
5484,4486,883,Close My Account,Peabody Close My Account Corp.,,BTU,19.68345965225145
10811,985,391,Vehicle Resolution,Pentair Ltd.,,PNR,39.69543147208122
4363,1344,432,Move On,People's United Financial Inc.,,PBCT,32.142857142857146
5445,1564,50,Fund My Deal,"Pepco Holdings, Inc.",,POM,3.1969309462915603
124140,48137,10259,Help Me Catch Up,"Pepsico, Inc.",,PEP,21.31208841431747
3807,634,242,Set Up My Loan,PerkinElmer Inc.,,PKI,38.170347003154575
11156,1743,360,Keep Payments Simple,Perrigo Co.,,PRGO,20.65404475043029
6512,2161,765,Outside Sales,"PetSmart, Inc.",,PETM,35.400277649236465
209533,63501,27312,Keep Payments Simple,Pfizer Inc.,,PFE,43.010346293759156
19237,8817,129,Fund My Deal,PG&E Corp.,,PCG,1.4630826811840763
155089,63907,17264,Help Me Catch Up,"Philip Morris International, Inc.",,PM,27.014255089426822
39455,19535,3331,Close My Account,Phillips 66,,PSX,17.051446122344508
6448,2922,166,Fund My Deal,Pinnacle West Capital Corporation,,PNW,5.68104038329911
16066,2129,148,Close My Account,Pioneer Natural Resources Co.,,PXD,6.951620479098168
2966,3714,1023,Vehicle Resolution,Pitney Bowes Inc.,,PBI,27.544426494345718
18777,7134,2026,Inside Sales,PPG Industries Inc.,,PPG,28.399215026633026
18462,8614,1002,Fund My Deal,PPL Corporation,,PPL,11.63222660784769
32988,11521,2391,Inside Sales,Praxair Inc.,,PX,20.75340682232445
26794,8676,2263,Vehicle Resolution,Precision Castparts Corp.,,PCP,26.083448593822038
34737,4716,897,Outside Sales,priceline.com Incorporated,,PCLN,19.020356234096692
9873,4918,818,Navigate My Account,Principal Financial Group Inc.,,PFG,16.632777551850346
215227,86212,22378,Help Me Catch Up,Procter & Gamble Co.,,PG,25.956943348953743
15460,7398,2504,Navigate My Account,Progressive Corp.,,PGR,33.84698567180319
26071,16352,3255,Navigate My Account,"Prudential Financial, Inc.",,PRU,19.90582191780822
17476,13842,3966,Fund My Deal,Public Service Enterprise Group Inc.,,PEG,28.651928912006934
7644,-7516,-1641,Help Me Catch Up,"PulteGroup, Inc.",,PHM,21.833422032996275
8759,1340,405,Help Me Catch Up,PVH Corp.,,PVH,30.223880597014926
5534,2876,49,Close My Account,"QEP Resources, Inc.",,QEP,1.7037552155771905
113156,26597,5180,Keep Me In My Car,QUALCOMM Incorporated,Qualcomm Incorporated,QCOM,19.475880738429147
5967,1543,448,Vehicle Resolution,"Quanta Services, Inc.",,PWR,29.034348671419313
9005,6310,2050,Set Up My Loan,Quest Diagnostics Inc.,,DGX,32.48811410459588
15385,4420,1265,Help Me Catch Up,Ralph Lauren Corporation,,RL,28.619909502262445
12853,1123,4,Close My Account,Range Resources Corporation,,RRC,0.3561887800534283
19010,15576,2992,Vehicle Resolution,Raytheon Co.,,RTN,19.2090395480226
9266,819,42,Keep Me In My Car,"Red Hat, Inc.",,RHT,5.128205128205129
11781,4100,1500,Vehicle Resolution,"Republic Services, Inc.",,RSG,36.58536585365854
24706,12067,4262,Help Me Catch Up,Reynolds American Inc.,,RAI,35.31946631308527
4993,1686,631,Vehicle Resolution,Robert Half International Inc.,,RHI,37.425860023724795
12176,4249,1195,Vehicle Resolution,Rockwell Automation Inc.,,ROK,28.124264532831255
8616,5162,1066,Vehicle Resolution,Rockwell Collins Inc.,,COL,20.650910499806276
12194,2886,798,Vehicle Resolution,Roper Industries Inc.,,ROP,27.65072765072765
13052,3987,1381,Outside Sales,Ross Stores Inc.,,ROST,34.6375721093554
4153,2514,834,Close My Account,Rowan Companies plc,,RDC,33.17422434367542
3071,1724,107,Vehicle Resolution,"Ryder System, Inc.",,R,6.206496519721577
6072,4547,1971,Outside Sales,Safeway Inc.,,SWY,43.34726193094348
4736,3725,1604,Keep Me In My Car,"SAIC, Inc.",,SAI,43.060402684563755
24436,358,61,Keep Me In My Car,"salesforce.com, inc",,CRM,17.039106145251395
7246,3202,450,Fund My Deal,SCANA Corp.,,SCG,14.05371642723298
99773,35973,7093,Close My Account,Schlumberger Limited,,SLB,19.71756595224196
9925,3915,1275,Help Me Catch Up,"Scripps Networks Interactive, Inc.",,SNI,32.56704980842912
12912,4095,94,Keep Me In My Car,Seagate Technology Public Limited Company,,STX,2.2954822954822953
20001,8228,1011,Fund My Deal,Sempra Close My Account,,SRE,12.287311618862422
9129,3257,860,Inside Sales,Sigma-Aldrich Corporation,,SIAL,26.404666871354006
4819,2015,545,Vehicle Resolution,Snap-on Inc.,,SNA,27.047146401985113
41267,17872,2157,Fund My Deal,Southern Company,,SO,12.069158460161146
9337,3253,557,Vehicle Resolution,Southwest Airlines Co.,,LUV,17.122656009837073
13097,1764,85,Close My Account,Southwestern Close My Account Co.,,SWN,4.81859410430839
20289,9066,1333,Close My Account,Spectra Close My Account Corp.,,SE,14.70328700639753
18968,-47436,-24,Manage My Leads,Sprint Nextel Corp.,,S,0.05059448520111308
11873,5580,1226,Set Up My Loan,St. Jude Medical Inc.,,STJ,21.97132616487455
12567,2350,743,Vehicle Resolution,"Stanley Black & Decker, Inc.",,SWK,31.617021276595743
