id,date,Readers,group,Topic
1,180509,4.49055,World events,Men's football World Cup
1,180519,6.7823,World events,Men's football World Cup
1,180521,9.41596,World events,Men's football World Cup
1,180522,7.5140699999999985,World events,Men's football World Cup
1,180523,7.081060000000001,World events,Men's football World Cup
1,180524,7.96515,World events,Men's football World Cup
1,180525,6.70147,World events,Men's football World Cup
1,180526,5.96127,World events,Men's football World Cup
1,180527,9.47089,World events,Men's football World Cup
1,180528,10.1396,World events,Men's football World Cup
1,180520,5.45047,World events,Men's football World Cup
1,180327,10.75104,World events,Men's football World Cup
1,180326,7.21903,World events,Men's football World Cup
1,180325,5.0912,World events,Men's football World Cup
1,180123,4.65203,World events,Men's football World Cup
1,180124,3.67715,World events,Men's football World Cup
1,180125,2.7691,World events,Men's football World Cup
1,180126,2.32309,World events,Men's football World Cup
1,180127,1.6065,World events,Men's football World Cup
1,180128,2.03637,World events,Men's football World Cup
1,180129,4.07545,World events,Men's football World Cup
1,180130,6.750189999999999,World events,Men's football World Cup
1,180131,3.24895,World events,Men's football World Cup
1,180201,3.38287,World events,Men's football World Cup
1,180202,2.55257,World events,Men's football World Cup
1,180203,6.3753,World events,Men's football World Cup
1,180204,2.46455,World events,Men's football World Cup
1,180205,1.89634,World events,Men's football World Cup
1,180206,2.17571,World events,Men's football World Cup
1,180207,3.01645,World events,Men's football World Cup
1,180208,5.57851,World events,Men's football World Cup
1,180122,4.48038,World events,Men's football World Cup
1,180121,2.1903900000000003,World events,Men's football World Cup
1,180120,1.59115,World events,Men's football World Cup
1,180119,3.04325,World events,Men's football World Cup
1,180101,2.07226,World events,Men's football World Cup
1,180102,3.19607,World events,Men's football World Cup
1,180103,2.98449,World events,Men's football World Cup
1,180104,2.44213,World events,Men's football World Cup
1,180105,2.27139,World events,Men's football World Cup
1,180106,1.56042,World events,Men's football World Cup
1,180107,2.46575,World events,Men's football World Cup
1,180108,2.9846,World events,Men's football World Cup
1,180209,3.66723,World events,Men's football World Cup
1,180109,3.13416,World events,Men's football World Cup
1,180111,3.09605,World events,Men's football World Cup
1,180112,2.82916,World events,Men's football World Cup
1,180113,2.57851,World events,Men's football World Cup
1,180114,2.93748,World events,Men's football World Cup
1,180115,4.45941,World events,Men's football World Cup
1,180116,3.51052,World events,Men's football World Cup
1,180117,3.9162,World events,Men's football World Cup
1,180118,5.60304,World events,Men's football World Cup
1,180110,3.91299,World events,Men's football World Cup
1,180210,3.27998,World events,Men's football World Cup
1,180211,3.74594,World events,Men's football World Cup
1,180212,4.16363,World events,Men's football World Cup
1,180307,5.01402,World events,Men's football World Cup
1,180308,3.71514,World events,Men's football World Cup
1,180309,2.50868,World events,Men's football World Cup
1,180310,2.67214,World events,Men's football World Cup
1,180311,3.20698,World events,Men's football World Cup
1,180312,3.4921300000000004,World events,Men's football World Cup
1,180313,4.3789099999999985,World events,Men's football World Cup
1,180314,6.10469,World events,Men's football World Cup
1,180306,3.28303,World events,Men's football World Cup
1,180315,5.50949,World events,Men's football World Cup
1,180317,4.81819,World events,Men's football World Cup
1,180318,5.7662900000000015,World events,Men's football World Cup
1,180319,5.1631300000000016,World events,Men's football World Cup
1,180320,6.28562,World events,Men's football World Cup
1,180321,10.33997,World events,Men's football World Cup
1,180322,8.502989999999999,World events,Men's football World Cup
1,180323,6.5649,World events,Men's football World Cup
1,180324,6.89578,World events,Men's football World Cup
1,180316,4.50389,World events,Men's football World Cup
1,180619,41.56299,World events,Men's football World Cup
1,180305,1.99044,World events,Men's football World Cup
1,180303,2.38421,World events,Men's football World Cup
1,180213,3.11027,World events,Men's football World Cup
1,180214,4.51909,World events,Men's football World Cup
1,180215,3.3359400000000003,World events,Men's football World Cup
1,180216,3.4511,World events,Men's football World Cup
1,180217,3.18209,World events,Men's football World Cup
1,180218,4.187119999999998,World events,Men's football World Cup
1,180219,4.23309,World events,Men's football World Cup
1,180220,4.13042,World events,Men's football World Cup
1,180304,1.70189,World events,Men's football World Cup
1,180221,3.9162,World events,Men's football World Cup
1,180223,3.83479,World events,Men's football World Cup
1,180224,2.82688,World events,Men's football World Cup
1,180225,2.16589,World events,Men's football World Cup
1,180226,3.16099,World events,Men's football World Cup
1,180227,2.99413,World events,Men's football World Cup
1,180228,3.6793,World events,Men's football World Cup
1,180301,2.6857,World events,Men's football World Cup
1,180302,3.46202,World events,Men's football World Cup
1,180222,4.7791,World events,Men's football World Cup
1,180620,41.87676,World events,Men's football World Cup
1,181210,3.71165,World events,Men's football World Cup
1,180622,40.57431,World events,Men's football World Cup
1,181010,5.39923,World events,Men's football World Cup
1,181011,5.06918,World events,Men's football World Cup
1,181012,6.54586,World events,Men's football World Cup
1,181013,3.93533,World events,Men's football World Cup
1,181014,4.21975,World events,Men's football World Cup
1,181015,4.8672,World events,Men's football World Cup
1,181016,4.54252,World events,Men's football World Cup
1,181017,6.02025,World events,Men's football World Cup
1,181018,3.02532,World events,Men's football World Cup
1,181019,3.29977,World events,Men's football World Cup
1,181020,2.68785,World events,Men's football World Cup
1,181021,3.82497,World events,Men's football World Cup
1,181022,4.54982,World events,Men's football World Cup
1,181023,3.14154,World events,Men's football World Cup
1,181024,9.79426,World events,Men's football World Cup
1,181025,2.32717,World events,Men's football World Cup
1,181026,2.36196,World events,Men's football World Cup
1,181009,5.39427,World events,Men's football World Cup
1,181008,5.97553,World events,Men's football World Cup
1,181007,2.08432,World events,Men's football World Cup
1,181006,1.68315,World events,Men's football World Cup
1,180918,4.15872,World events,Men's football World Cup
1,180919,5.32533,World events,Men's football World Cup
1,180920,4.4713,World events,Men's football World Cup
1,180921,4.0865800000000005,World events,Men's football World Cup
1,180922,2.66745,World events,Men's football World Cup
1,180923,2.3189900000000003,World events,Men's football World Cup
1,180924,4.10881,World events,Men's football World Cup
1,180925,6.16429,World events,Men's football World Cup
1,181027,6.81999,World events,Men's football World Cup
1,180926,5.67945,World events,Men's football World Cup
1,180928,4.81914,World events,Men's football World Cup
1,180929,3.72567,World events,Men's football World Cup
1,180930,3.34634,World events,Men's football World Cup
1,181001,3.14801,World events,Men's football World Cup
1,181002,3.3662300000000003,World events,Men's football World Cup
1,181003,2.85668,World events,Men's football World Cup
1,181004,3.86925,World events,Men's football World Cup
1,181005,2.46012,World events,Men's football World Cup
1,180927,4.4817800000000005,World events,Men's football World Cup
1,181028,2.69327,World events,Men's football World Cup
1,181029,5.29479,World events,Men's football World Cup
1,181030,5.10369,World events,Men's football World Cup
1,181122,3.89949,World events,Men's football World Cup
1,181123,3.61619,World events,Men's football World Cup
1,181124,3.83606,World events,Men's football World Cup
1,181125,3.77366,World events,Men's football World Cup
1,181126,4.89424,World events,Men's football World Cup
1,181127,4.4616,World events,Men's football World Cup
1,181128,3.10407,World events,Men's football World Cup
1,181129,3.18615,World events,Men's football World Cup
1,181121,3.85174,World events,Men's football World Cup
1,181130,3.40231,World events,Men's football World Cup
1,181202,2.88131,World events,Men's football World Cup
1,181203,5.96885,World events,Men's football World Cup
1,181204,6.16542,World events,Men's football World Cup
1,181205,2.97457,World events,Men's football World Cup
1,181206,4.44326,World events,Men's football World Cup
1,181207,3.17571,World events,Men's football World Cup
1,181208,3.07835,World events,Men's football World Cup
1,181209,2.73789,World events,Men's football World Cup
1,181201,2.28899,World events,Men's football World Cup
1,180917,4.39205,World events,Men's football World Cup
1,181120,4.9174,World events,Men's football World Cup
1,181118,6.34411,World events,Men's football World Cup
1,181031,4.22631,World events,Men's football World Cup
1,181101,3.23189,World events,Men's football World Cup
1,181102,4.82647,World events,Men's football World Cup
1,181103,5.00206,World events,Men's football World Cup
1,181104,3.94859,World events,Men's football World Cup
1,181105,4.60945,World events,Men's football World Cup
1,181106,4.17825,World events,Men's football World Cup
1,181107,2.9140200000000003,World events,Men's football World Cup
1,181119,6.21508,World events,Men's football World Cup
1,181108,4.42592,World events,Men's football World Cup
1,181110,3.83117,World events,Men's football World Cup
1,181111,3.95544,World events,Men's football World Cup
1,181112,3.21429,World events,Men's football World Cup
1,181113,3.34884,World events,Men's football World Cup
1,181114,3.06023,World events,Men's football World Cup
1,181115,4.07937,World events,Men's football World Cup
1,181116,4.08204,World events,Men's football World Cup
1,181117,4.7539099999999985,World events,Men's football World Cup
1,181109,3.96381,World events,Men's football World Cup
1,180916,3.43625,World events,Men's football World Cup
1,180621,37.75705,World events,Men's football World Cup
1,180914,4.34555,World events,Men's football World Cup
1,180715,40.70629,World events,Men's football World Cup
1,180716,37.25848,World events,Men's football World Cup
1,180717,20.56604,World events,Men's football World Cup
1,180718,16.425629999999998,World events,Men's football World Cup
1,180719,16.47469,World events,Men's football World Cup
1,180720,14.48927,World events,Men's football World Cup
1,180721,10.97605,World events,Men's football World Cup
1,180722,11.71561,World events,Men's football World Cup
1,180723,17.26839,World events,Men's football World Cup
1,180724,13.121,World events,Men's football World Cup
1,180725,10.64633,World events,Men's football World Cup
1,180726,11.04773,World events,Men's football World Cup
1,180727,8.89367,World events,Men's football World Cup
1,180728,6.72319,World events,Men's football World Cup
1,180729,8.74779,World events,Men's football World Cup
1,180730,10.77947,World events,Men's football World Cup
1,180731,12.81008,World events,Men's football World Cup
1,180714,27.35016,World events,Men's football World Cup
1,180713,23.00732,World events,Men's football World Cup
1,180712,35.11509,World events,Men's football World Cup
1,180711,50.96169,World events,Men's football World Cup
1,180623,34.16118,World events,Men's football World Cup
1,180624,44.9981,World events,Men's football World Cup
1,180625,44.78874,World events,Men's football World Cup
1,180626,42.52687,World events,Men's football World Cup
1,180627,47.83556,World events,Men's football World Cup
1,180628,48.91651,World events,Men's football World Cup
